Symbol,Security,GICS Sector,GICS Sub-Industry,market_cap,perf_1y,perf_3y,perf_5y,perf_10y,perf_life,company_name,class_count,company_weight,weight
BLK,BlackRock,Financials,Asset Management & Custody Banks,148994785280,0.02460919238042747,0.5974152329750928,0.47701128764194256,2.5879361613163328,112.95223211353277,BlackRock,1,0.0025640205062941214,0.0025640205062941214
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,134974398464,-0.23233847944023422,0.4684249616846323,0.7806947355004881,5.164925813837251,7.493994784809576,Blackstone Inc.,1,0.0023227465634857,0.0023227465634857
XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,36077072384,-0.026721328985495618,-0.2030872626592649,-0.7374519185870441,3.430597061345031,3.54246368157113,"Block, Inc.",1,0.0006208428920904671,0.0006208428920904671
BK,BNY Mellon,Financials,Asset Management & Custody Banks,80153313280,0.3983014610152902,1.8868590413344069,1.9274838645489742,2.8940040778001306,227.58898492588594,BNY Mellon,1,0.0013793418240183454,0.0013793418240183454
BA,Boeing,Industrials,Aerospace & Defense,153333907456,0.12897062460209763,-0.047126087580842246,-0.2233411677131233,0.5867115809901853,1020.940117655607,Boeing,1,0.002638691564195052,0.002638691564195052
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",139380310016,-0.050522421881173396,0.7663572820669629,0.9735826295264487,2.2615961838189453,7.858357945068109,Booking Holdings,1,0.0023985669859724096,0.0023985669859724096
BSX,Boston Scientific,Health Care,Health Care Equipment,103100366848,-0.31553539656428475,0.4228957761936025,0.8174209832299999,2.8365544459020757,15.22890589359033,Boston Scientific,1,0.0017742329324340674,0.0017742329324340674
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,117056512000,-0.0006006462916956501,-0.019903558174545588,0.10597534227129701,0.2906263650986982,199.09649821820824,Bristol Myers Squibb,1,0.002014401353706652,0.002014401353706652
AVGO,Broadcom,Information Technology,Semiconductors,1472212893696,0.6393968571918387,4.045175449252927,6.205954187431054,25.479481316863886,271.4310757670491,Broadcom,1,0.02533500781234289,0.02533500781234289
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,20356304896,-0.24127977061356842,0.3458060545188415,0.28595931379533024,2.5880115519906304,11.66976577354714,Broadridge Financial Solutions,1,0.0003503074492683307,0.0003503074492683307
BRO,Brown & Brown,Financials,Insurance Brokers,22892265472,-0.4362057483369972,0.2585812884594221,0.5297649462686211,3.1416249452894753,704.2840605456722,Brown & Brown,1,0.0003939482713803128,0.0003939482713803128
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,0,,,,,,Brown–Forman,1,0.0,0.0
BLDR,Builders FirstSource,Industrials,Building Products,8983344128,-0.3692140052367654,-0.00975366319319293,0.8101181893050577,7.204040843464277,5.0394361211212475,Builders FirstSource,1,0.0001545925148722687,0.0001545925148722687
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,22863099904,0.6470084807420757,0.35733811917406033,0.7399312303815924,1.8646665937219375,11.107056377649393,Bunge Global,1,0.0003934463671405827,0.0003934463671405827
BXP,"BXP, Inc.",Real Estate,Office REITs,9221127168,-0.20160548382410837,0.196962944759286,-0.3445626408876393,-0.3819045012152782,6.394797492179989,"BXP, Inc.",1,0.00015868447412750847,0.00015868447412750847
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,20032686080,0.7329510869697116,0.8924412006225653,0.9851317617907174,1.8948393827647685,48.56702352553422,C.H. Robinson,1,0.00034473835986102507,0.00034473835986102507
CDNS,Cadence Design Systems,Information Technology,Application Software,78321049600,0.09825916400961066,0.3710338719019288,1.2184886394339953,11.381159621371754,140.9499969482422,Cadence Design Systems,1,0.0013478107765415547,0.0013478107765415547
